attribute,threshold,threshold_name,subgroup,n,n_positive,n_negative,prevalence,cm_tp,cm_fn,cm_tn,cm_fp,recall,recall_lo,recall_hi,specificity,specificity_lo,specificity_hi,precision,precision_lo,precision_hi,selection_rate,selection_rate_lo,selection_rate_hi,roc_auc,roc_auc_lo,roc_auc_hi,reliable,caveat
sex,0.5,0.5,female,28819,3731,25088,0.1295,549,3182,24689,399,0.1471,0.1361,0.1589,0.9841,0.9825,0.9856,0.5791,0.5474,0.6102,0.0329,0.0309,0.035,0.8419,0.8338,0.8499,True,
sex,0.5,0.5,male,22142,3316,18826,0.1498,483,2833,18475,351,0.1457,0.1341,0.1581,0.9814,0.9793,0.9832,0.5791,0.5453,0.6122,0.0377,0.0352,0.0403,0.8179,0.8088,0.827,True,
sex,0.1388,operating,female,28819,3731,25088,0.1295,2947,784,18525,6563,0.7899,0.7765,0.8026,0.7384,0.7329,0.7438,0.3099,0.3007,0.3193,0.33,0.3246,0.3354,0.8419,0.8338,0.8499,True,
sex,0.1388,operating,male,22142,3316,18826,0.1498,2679,637,12608,6218,0.8079,0.7941,0.821,0.6697,0.663,0.6764,0.3011,0.2917,0.3107,0.4018,0.3954,0.4083,0.8179,0.8088,0.827,True,
age_band,0.5,0.5,18-34,4848,119,4729,0.0245,1,118,4728,1,0.0084,0.0015,0.0461,0.9998,0.9988,1.0,0.5,0.0945,0.9055,0.0004,0.0001,0.0015,0.8583,0.8156,0.901,True,
age_band,0.5,0.5,35-49,10111,645,9466,0.0638,51,594,9412,54,0.0791,0.0606,0.1025,0.9943,0.9926,0.9956,0.4857,0.3923,0.5801,0.0104,0.0086,0.0126,0.8535,0.8348,0.8722,True,
age_band,0.5,0.5,50-64,18110,2624,15486,0.1449,438,2186,15189,297,0.1669,0.1531,0.1817,0.9808,0.9785,0.9829,0.5959,0.56,0.6308,0.0406,0.0378,0.0436,0.8241,0.814,0.8341,True,
age_band,0.5,0.5,65+,17892,3659,14233,0.2045,542,3117,13835,398,0.1481,0.137,0.16,0.972,0.9692,0.9746,0.5766,0.5448,0.6078,0.0525,0.0494,0.0559,0.7683,0.7588,0.7778,True,
age_band,0.1388,operating,18-34,4848,119,4729,0.0245,32,87,4659,70,0.2689,0.1974,0.3549,0.9852,0.9813,0.9883,0.3137,0.2318,0.4091,0.021,0.0174,0.0255,0.8583,0.8156,0.901,True,
age_band,0.1388,operating,35-49,10111,645,9466,0.0638,394,251,8336,1130,0.6109,0.5727,0.6477,0.8806,0.8739,0.887,0.2585,0.2372,0.2811,0.1507,0.1439,0.1578,0.8535,0.8348,0.8722,True,
age_band,0.1388,operating,50-64,18110,2624,15486,0.1449,2052,572,10994,4492,0.782,0.7658,0.7974,0.7099,0.7027,0.717,0.3136,0.3024,0.3249,0.3613,0.3544,0.3684,0.8241,0.814,0.8341,True,
age_band,0.1388,operating,65+,17892,3659,14233,0.2045,3148,511,7144,7089,0.8603,0.8487,0.8712,0.5019,0.4937,0.5101,0.3075,0.2986,0.3165,0.5722,0.5649,0.5794,0.7683,0.7588,0.7778,True,
