column,dtype,n_missing,pct_missing,n_unique
BMI,int64,0,0.0,84
MentHlth,int64,0,0.0,31
PhysHlth,int64,0,0.0,31
GenHlth,int64,0,0.0,5
Age,int64,0,0.0,13
Education,int64,0,0.0,6
Income,int64,0,0.0,8
HighBP,int64,0,0.0,2
HighChol,int64,0,0.0,2
CholCheck,int64,0,0.0,2
Smoker,int64,0,0.0,2
Stroke,int64,0,0.0,2
HeartDiseaseorAttack,int64,0,0.0,2
PhysActivity,int64,0,0.0,2
Fruits,int64,0,0.0,2
Veggies,int64,0,0.0,2
HvyAlcoholConsump,int64,0,0.0,2
AnyHealthcare,int64,0,0.0,2
NoDocbcCost,int64,0,0.0,2
DiffWalk,int64,0,0.0,2
Sex,int64,0,0.0,2
