threshold,precision,recall_sensitivity,specificity,f1,accuracy
0.05,0.2206,0.9485,0.4621,0.3579,0.5294
0.1,0.2676,0.8764,0.615,0.41,0.6511
0.15,0.3163,0.7769,0.7305,0.4496,0.7369
0.2,0.3597,0.6687,0.809,0.4677,0.7896
0.25,0.3939,0.5834,0.8559,0.4703,0.8183
0.3,0.4325,0.4933,0.8961,0.4609,0.8404
0.35,0.4659,0.4019,0.9261,0.4315,0.8536
0.4,0.5065,0.3082,0.9518,0.3832,0.8628
0.45,0.543,0.2202,0.9703,0.3134,0.8665
0.5,0.5791,0.1464,0.9829,0.2338,0.8673
0.55,0.6018,0.1066,0.9887,0.1811,0.8667
0.6,0.6485,0.0641,0.9944,0.1167,0.8658
0.65,0.6833,0.0291,0.9978,0.0558,0.8639
0.7,0.7312,0.0166,0.999,0.0325,0.8632
0.75,0.661,0.0055,0.9995,0.011,0.8621
0.8,0.7037,0.0027,0.9998,0.0054,0.8619
0.85,0.75,0.0013,0.9999,0.0025,0.8618
0.9,1.0,0.0006,1.0,0.0011,0.8618
0.95,1.0,0.0001,1.0,0.0003,0.8617
