column,in_both,values_a,values_b,compatible,note
age,True,"[29, 77] mean 54.44","[29, 77] mean 54.43",True,
trestbps,True,"[94, 200] mean 131.69","[94, 200] mean 131.34",True,
chol,True,"[126, 564] mean 246.69","[126, 564] mean 249.66",True,
thalach,True,"[71, 202] mean 149.61","[71, 202] mean 149.68",True,
oldpeak,True,"[0, 6.2] mean 1.04","[0, 6.2] mean 1.05",True,
cp,True,"1, 2, 3, 4","1, 2, 3, 4",True,
restecg,True,"0, 1, 2","0, 1, 2",True,
slope,True,"1, 2, 3","1, 2, 3",True,
ca,True,"0, 1, 2, 3","0, 1, 2, 3",True,
thal,True,"3, 6, 7","3, 6, 7",True,
sex,True,"0, 1","0, 1",True,
fbs,True,"0, 1","0, 1",True,
exang,True,"0, 1","0, 1",True,
