attribute,threshold,threshold_name,subgroup,n,n_positive,n_negative,prevalence,cm_tp,cm_fn,cm_tn,cm_fp,recall,recall_lo,recall_hi,specificity,specificity_lo,specificity_hi,precision,precision_lo,precision_hi,selection_rate,selection_rate_lo,selection_rate_hi,roc_auc,roc_auc_lo,roc_auc_hi,reliable,caveat
sex,0.5,0.5,female,20,7,13,0.35,5,2,13,0,0.7143,0.3589,0.9178,1.0,0.7719,1.0,1.0,0.5655,1.0,0.25,0.1119,0.4687,0.989,0.9322,1.0,False,only 7 positives (min 10) — recall is not estimable
sex,0.5,0.5,male,41,21,20,0.5122,20,1,16,4,0.9524,0.7733,0.9915,0.8,0.584,0.9193,0.8333,0.6415,0.9332,0.5854,0.4337,0.7224,0.9381,0.8604,1.0,True,
sex,0.6436,operating,female,20,7,13,0.35,5,2,13,0,0.7143,0.3589,0.9178,1.0,0.7719,1.0,1.0,0.5655,1.0,0.25,0.1119,0.4687,0.989,0.9322,1.0,False,only 7 positives (min 10) — recall is not estimable
sex,0.6436,operating,male,41,21,20,0.5122,18,3,18,2,0.8571,0.6536,0.9502,0.9,0.699,0.9721,0.9,0.699,0.9721,0.4878,0.3425,0.6352,0.9381,0.8604,1.0,True,
age_band,0.5,0.5,45-54,15,4,11,0.2667,4,0,11,0,1.0,0.5101,1.0,1.0,0.7412,1.0,1.0,0.5101,1.0,0.2667,0.109,0.5195,1.0,1.0,1.0,False,only 15 rows (min 20); only 4 positives (min 10) — recall is not estimable
age_band,0.5,0.5,55-64,27,18,9,0.6667,15,3,7,2,0.8333,0.6078,0.9416,0.7778,0.4526,0.9368,0.8824,0.6566,0.9671,0.6296,0.4423,0.7847,0.8889,0.7658,1.0,False,only 9 negatives (min 10) — specificity is not estimable
age_band,0.5,0.5,65+,6,3,3,0.5,3,0,1,2,1.0,0.4385,1.0,0.3333,0.0615,0.7923,0.6,0.2307,0.8824,0.8333,0.4365,0.9699,1.0,1.0,1.0,False,only 6 rows (min 20); only 3 positives (min 10) — recall is not estimable; only 3 negatives (min 10) — specificity is not estimable
age_band,0.5,0.5,<45,13,3,10,0.2308,3,0,10,0,1.0,0.4385,1.0,1.0,0.7225,1.0,1.0,0.4385,1.0,0.2308,0.0818,0.5026,1.0,1.0,1.0,False,only 13 rows (min 20); only 3 positives (min 10) — recall is not estimable
age_band,0.6436,operating,45-54,15,4,11,0.2667,4,0,11,0,1.0,0.5101,1.0,1.0,0.7412,1.0,1.0,0.5101,1.0,0.2667,0.109,0.5195,1.0,1.0,1.0,False,only 15 rows (min 20); only 4 positives (min 10) — recall is not estimable
age_band,0.6436,operating,55-64,27,18,9,0.6667,14,4,7,2,0.7778,0.5479,0.91,0.7778,0.4526,0.9368,0.875,0.6398,0.965,0.5926,0.4073,0.7549,0.8889,0.7658,1.0,False,only 9 negatives (min 10) — specificity is not estimable
age_band,0.6436,operating,65+,6,3,3,0.5,3,0,3,0,1.0,0.4385,1.0,1.0,0.4385,1.0,1.0,0.4385,1.0,0.5,0.1876,0.8124,1.0,1.0,1.0,False,only 6 rows (min 20); only 3 positives (min 10) — recall is not estimable; only 3 negatives (min 10) — specificity is not estimable
age_band,0.6436,operating,<45,13,3,10,0.2308,2,1,10,0,0.6667,0.2077,0.9385,1.0,0.7225,1.0,1.0,0.3424,1.0,0.1538,0.0433,0.4223,1.0,1.0,1.0,False,only 13 rows (min 20); only 3 positives (min 10) — recall is not estimable
