threshold,precision,recall_sensitivity,specificity,f1,accuracy
0.05,0.459,1.0,0.0,0.6292,0.459
0.1,0.5957,1.0,0.4242,0.7467,0.6885
0.15,0.6512,1.0,0.5455,0.7887,0.7541
0.2,0.7105,0.9643,0.6667,0.8182,0.8033
0.25,0.75,0.9643,0.7273,0.8438,0.8361
0.3,0.7647,0.9286,0.7576,0.8387,0.8361
0.35,0.8125,0.9286,0.8182,0.8667,0.8689
0.4,0.8125,0.9286,0.8182,0.8667,0.8689
0.45,0.8387,0.9286,0.8485,0.8814,0.8852
0.5,0.8621,0.8929,0.8788,0.8772,0.8852
0.55,0.8621,0.8929,0.8788,0.8772,0.8852
0.6,0.8621,0.8929,0.8788,0.8772,0.8852
0.65,0.92,0.8214,0.9394,0.8679,0.8852
0.7,0.9545,0.75,0.9697,0.84,0.8689
0.75,0.9524,0.7143,0.9697,0.8163,0.8525
0.8,0.9474,0.6429,0.9697,0.766,0.8197
0.85,0.9412,0.5714,0.9697,0.7111,0.7869
0.9,1.0,0.3214,1.0,0.4865,0.6885
0.95,0.0,0.0,1.0,0.0,0.541
