,age,bp,sg,al,su,bgr,bu,sc,sod,pot,hemo,pcv,wbcc,rbcc
age,1.0,0.123,-0.233,0.213,0.281,0.299,0.309,0.35,-0.134,0.072,-0.23,-0.287,0.162,-0.294
bp,0.123,1.0,-0.204,0.195,0.217,0.177,0.184,0.305,-0.137,0.091,-0.276,-0.289,0.019,-0.268
sg,-0.233,-0.204,1.0,-0.52,-0.334,-0.377,-0.344,-0.559,0.428,0.059,0.629,0.629,-0.22,0.584
al,0.213,0.195,-0.52,1.0,0.358,0.372,0.495,0.641,-0.534,0.053,-0.683,-0.661,0.194,-0.624
su,0.281,0.217,-0.334,0.358,1.0,0.602,0.223,0.356,-0.229,0.055,-0.296,-0.305,0.247,-0.31
bgr,0.299,0.177,-0.377,0.372,0.602,1.0,0.195,0.359,-0.261,0.072,-0.349,-0.35,0.11,-0.328
bu,0.309,0.184,-0.344,0.495,0.223,0.195,1.0,0.703,-0.414,0.212,-0.592,-0.565,0.094,-0.566
sc,0.35,0.305,-0.559,0.641,0.356,0.359,0.703,1.0,-0.497,0.129,-0.726,-0.719,0.127,-0.654
sod,-0.134,-0.137,0.428,-0.534,-0.229,-0.261,-0.414,-0.497,1.0,0.021,0.511,0.518,0.043,0.444
pot,0.072,0.091,0.059,0.053,0.055,0.072,0.212,0.129,0.021,1.0,-0.063,-0.142,-0.087,-0.109
hemo,-0.23,-0.276,0.629,-0.683,-0.296,-0.349,-0.592,-0.726,0.511,-0.063,1.0,0.868,-0.165,0.777
pcv,-0.287,-0.289,0.629,-0.661,-0.305,-0.35,-0.565,-0.719,0.518,-0.142,0.868,1.0,-0.177,0.764
wbcc,0.162,0.019,-0.22,0.194,0.247,0.11,0.094,0.127,0.043,-0.087,-0.165,-0.177,1.0,-0.136
rbcc,-0.294,-0.268,0.584,-0.624,-0.31,-0.328,-0.566,-0.654,0.444,-0.109,0.777,0.764,-0.136,1.0
