column,dtype,n_missing,pct_missing,n_unique
rbc,float64,152,38.0,2
rbcc,float64,131,32.75,45
wbcc,float64,106,26.5,89
pot,float64,88,22.0,40
sod,float64,87,21.75,34
pcv,float64,71,17.75,42
pc,float64,65,16.25,2
hemo,float64,52,13.0,115
su,float64,49,12.25,6
sg,float64,47,11.75,5
al,float64,46,11.5,6
bgr,float64,44,11.0,146
bu,float64,19,4.75,118
sc,float64,17,4.25,84
bp,float64,12,3.0,10
age,float64,9,2.25,76
pcc,float64,4,1.0,2
ba,float64,4,1.0,2
htn,float64,2,0.5,2
dm,float64,2,0.5,2
cad,float64,2,0.5,2
appet,float64,1,0.25,2
pe,float64,1,0.25,2
ane,float64,1,0.25,2
