column,n_missing,pct_missing,positive_rate_when_missing,positive_rate_when_present,difference,overall_positive_rate
pcc,4,1.0,0.0,0.6313,-0.6313,0.625
ba,4,1.0,0.0,0.6313,-0.6313,0.625
htn,2,0.5,0.0,0.6281,-0.6281,0.625
dm,2,0.5,0.0,0.6281,-0.6281,0.625
cad,2,0.5,0.0,0.6281,-0.6281,0.625
pe,1,0.25,0.0,0.6266,-0.6266,0.625
ane,1,0.25,0.0,0.6266,-0.6266,0.625
appet,1,0.25,0.0,0.6266,-0.6266,0.625
rbc,152,38.0,0.9408,0.4315,0.5093,0.625
rbcc,131,32.75,0.9466,0.4684,0.4782,0.625
wbcc,106,26.5,0.934,0.5136,0.4204,0.625
pot,88,22.0,0.9432,0.5353,0.4079,0.625
sod,87,21.75,0.9425,0.5367,0.4058,0.625
pcv,71,17.75,0.9437,0.5562,0.3874,0.625
su,49,12.25,0.898,0.5869,0.3111,0.625
sg,47,11.75,0.8936,0.5892,0.3044,0.625
al,46,11.5,0.8913,0.5904,0.3009,0.625
hemo,52,13.0,0.8846,0.5862,0.2984,0.625
pc,65,16.25,0.8615,0.5791,0.2824,0.625
age,9,2.25,0.8889,0.6189,0.27,0.625
bgr,44,11.0,0.8636,0.5955,0.2681,0.625
bp,12,3.0,0.8333,0.6186,0.2148,0.625
sc,17,4.25,0.7059,0.6214,0.0845,0.625
bu,19,4.75,0.6842,0.622,0.0622,0.625
