,count,mean,std,min,25%,50%,75%,max,missing,skew
age,391.0,51.483,17.17,2.0,42.0,55.0,64.5,90.0,9,-0.668
bp,388.0,76.469,13.684,50.0,70.0,80.0,80.0,180.0,12,1.605
sg,353.0,1.017,0.006,1.005,1.01,1.02,1.02,1.025,47,-0.172
al,354.0,1.017,1.353,0.0,0.0,0.0,2.0,5.0,46,0.998
su,351.0,0.45,1.099,0.0,0.0,0.0,0.0,5.0,49,2.464
bgr,356.0,148.037,79.282,22.0,99.0,121.0,163.0,490.0,44,2.011
bu,381.0,57.426,50.503,1.5,27.0,42.0,66.0,391.0,19,2.634
sc,383.0,3.072,5.741,0.4,0.9,1.3,2.8,76.0,17,7.51
sod,313.0,137.529,10.409,4.5,135.0,138.0,142.0,163.0,87,-6.997
pot,312.0,4.627,3.194,2.5,3.8,4.4,4.9,47.0,88,11.583
hemo,348.0,12.526,2.913,3.1,10.3,12.65,15.0,17.8,52,-0.335
pcv,329.0,38.884,8.99,9.0,32.0,40.0,45.0,54.0,71,-0.434
wbcc,294.0,8406.122,2944.474,2200.0,6500.0,8000.0,9800.0,26400.0,106,1.622
rbcc,269.0,4.707,1.025,2.1,3.9,4.8,5.4,8.0,131,-0.183
