threshold,precision,recall_sensitivity,specificity,f1,accuracy
0.05,0.8772,1.0,0.7667,0.9346,0.9125
0.1,0.9434,1.0,0.9,0.9709,0.9625
0.15,0.9434,1.0,0.9,0.9709,0.9625
0.2,0.9615,1.0,0.9333,0.9804,0.975
0.25,0.9804,1.0,0.9667,0.9901,0.9875
0.3,0.9804,1.0,0.9667,0.9901,0.9875
0.35,0.9804,1.0,0.9667,0.9901,0.9875
0.4,0.9804,1.0,0.9667,0.9901,0.9875
0.45,0.9804,1.0,0.9667,0.9901,0.9875
0.5,0.9796,0.96,0.9667,0.9697,0.9625
0.55,1.0,0.96,1.0,0.9796,0.975
0.6,1.0,0.96,1.0,0.9796,0.975
0.65,1.0,0.96,1.0,0.9796,0.975
0.7,1.0,0.96,1.0,0.9796,0.975
0.75,1.0,0.96,1.0,0.9796,0.975
0.8,1.0,0.96,1.0,0.9796,0.975
0.85,1.0,0.94,1.0,0.9691,0.9625
0.9,1.0,0.94,1.0,0.9691,0.9625
0.95,1.0,0.94,1.0,0.9691,0.9625
